"filename", "language", "Vue", "JavaScript", "JSON", "comment", "blank", "total"
"c:\Users\yusuf\Desktop\he-we-go-again\apis\src\controllers\blog.js", "JavaScript", 0, 55, 0, 0, 4, 59
"c:\Users\yusuf\Desktop\he-we-go-again\apis\src\controllers\user.js", "JavaScript", 0, 1, 0, 0, 0, 1
"c:\Users\yusuf\Desktop\he-we-go-again\apis\src\models\blog.js", "JavaScript", 0, 6, 0, 0, 0, 6
"c:\Users\yusuf\Desktop\he-we-go-again\apis\src\views\blog.js", "JavaScript", 0, 3, 0, 0, 3, 6
"c:\Users\yusuf\Desktop\he-we-go-again\package-lock.json", "JSON", 0, 0, 598, 0, 0, 598
"c:\Users\yusuf\Desktop\he-we-go-again\package.json", "JSON", 0, 0, 9, 0, 0, 9
"c:\Users\yusuf\Desktop\he-we-go-again\src\components\changePassword.vue", "Vue", -1, 0, 0, 0, 0, -1
"c:\Users\yusuf\Desktop\he-we-go-again\src\components\forgotPassword.vue", "Vue", 6, 0, 0, 0, 1, 7
"c:\Users\yusuf\Desktop\he-we-go-again\src\components\googleAuth.vue", "Vue", -1, 0, 0, 0, 1, 0
"c:\Users\yusuf\Desktop\he-we-go-again\src\components\textEditor.vue", "Vue", 17, 0, 0, 1, 2, 20
"c:\Users\yusuf\Desktop\he-we-go-again\src\components\textEditorold.vue", "Vue", 35, 0, 0, 0, 2, 37
"c:\Users\yusuf\Desktop\he-we-go-again\src\components\userAccountMenu.vue", "Vue", 11, 0, 0, 0, 0, 11
"c:\Users\yusuf\Desktop\he-we-go-again\src\router\index.js", "JavaScript", 0, 10, 0, 0, 0, 10
"c:\Users\yusuf\Desktop\he-we-go-again\src\utils\crypto.js", "JavaScript", 0, 14, 0, 0, 4, 18
"c:\Users\yusuf\Desktop\he-we-go-again\src\views\EditPostView.vue", "Vue", 128, 0, 0, 0, 6, 134
"c:\Users\yusuf\Desktop\he-we-go-again\src\views\HomeView.vue", "Vue", 28, 0, 0, 0, 3, 31
"c:\Users\yusuf\Desktop\he-we-go-again\src\views\LoginView.vue", "Vue", 4, 0, 0, 0, -1, 3
"c:\Users\yusuf\Desktop\he-we-go-again\src\views\LogoutView.vue", "Vue", 0, 0, 0, 0, 1, 1
"c:\Users\yusuf\Desktop\he-we-go-again\src\views\MyContentView.vue", "Vue", 1, 0, 0, 0, 0, 1
"c:\Users\yusuf\Desktop\he-we-go-again\src\views\NewPostView.vue", "Vue", 23, 0, 0, 0, 1, 24
"c:\Users\yusuf\Desktop\he-we-go-again\src\views\PostsView.vue", "Vue", 88, 0, 0, 0, 5, 93
"c:\Users\yusuf\Desktop\he-we-go-again\src\views\ProfileView.vue", "Vue", 47, 0, 0, 0, 3, 50
"c:\Users\yusuf\Desktop\he-we-go-again\src\views\UserProfileView.vue", "Vue", 5, 0, 0, 0, 0, 5
"Total", "-", 391, 89, 607, 1, 35, 1123
